Name,Team,Opp,Pos,Salary,Fpts,Floor,Ceil
Ja'Marr Chase,CIN,BUF,WR,7800,20.2275,10.59,31.95
Stefon Diggs,BUF,CIN,WR,7700,19.375,9.78,31.03
CeeDee Lamb,DAL,SF,WR,7300,16.97,9.33,27.145
A.J. Brown,PHI,NYG,WR,7600,16.3075,6.86,26.785
Christian Kirk,JAX,KC,WR,6000,15.6575,7.52,24.165
DeVonta Smith,PHI,NYG,WR,7200,14.74,6.64,24.755
Tee Higgins,CIN,BUF,WR,5800,14.405,7.16,23.935
Deebo Samuel,SF,DAL,WR,5900,14.255,7.13,22.96
Zay Jones,JAX,KC,WR,4700,13.1425,6.15,21.315
Gabe Davis,BUF,CIN,WR,4800,12.9925,4.3,22.89
JuJu Smith-Schuster,KC,JAX,WR,5100,12.5175,5.81,20.625
Brandon Aiyuk,SF,DAL,WR,5000,12.4725,5.6,21.085
Isaiah Hodgins,NYG,PHI,WR,4900,11.395,4.56,17.99
Darius Slayton,NYG,PHI,WR,4200,10.6175,3.71,17.23
Richie James,NYG,PHI,WR,3900,10.46,3.94,16.8
Tyler Boyd,CIN,BUF,WR,4000,8.88,3.74,15.48
Michael Gallup,DAL,SF,WR,3800,8.4025,3.27,14.95
Kadarius Toney,KC,JAX,WR,4100,8.2925,3.95,15.71
Marquez Valdes-Scantling,KC,JAX,WR,3800,8.14,1.43,14.9
Marvin Jones,JAX,KC,WR,3600,7.94,2.15,14.25
Isaiah McKenzie,BUF,CIN,WR,3300,6.39,2.14,12.665
T.Y. Hilton,DAL,SF,WR,3200,6.3775,0.92,11.79
Quez Watkins,PHI,NYG,WR,3300,5.8625,1.64,12.9
Jauan Jennings,SF,DAL,WR,3400,5.285,1.05,10.8
Justin Watson,KC,JAX,WR,3100,4.5075,,12.57
Noah Brown,DAL,SF,WR,3100,4.0475,1.98,9.555
Skyy Moore,KC,JAX,WR,3000,3.285,0.12,9.625
Cole Beasley,BUF,CIN,WR,3000,2.945,,7.505
Jamal Agnew,JAX,KC,WR,3000,2.765,0.47,7.265
Khalil Shakir,BUF,CIN,WR,3000,2.415,0.02,7.37
Trenton Irwin,CIN,BUF,WR,3000,1.545,0.02,5.89
Zach Pascal,PHI,NYG,WR,3000,1.3,0.01,4.88
Kenny Golladay,NYG,PHI,WR,3000,1.205,0.02,4.89
John Brown,BUF,CIN,WR,3000,1,,3.8
Ray-Ray McCloud,SF,DAL,WR,3000,0.825,0.01,3.26
Marcus Johnson,NYG,PHI,WR,3000,0.195,,0.92
Britain Covey,PHI,NYG,WR,3000,0.18,,0.69
Trent Taylor,CIN,BUF,WR,3000,0.08,,0.31
Danny Gray,SF,DAL,WR,3000,0.08,,1.065
Stanley Morgan,CIN,BUF,WR,3000,0.08,,0.31
Tim Jones,JAX,KC,WR,3000,0.08,,0.31
KaVontae Turpin,DAL,SF,WR,3000,0.06,,0.23
Travis Kelce,KC,JAX,TE,7700,19.5925,10.4,29.8
Dallas Goedert,PHI,NYG,TE,4500,12.2775,4.39,20.335
Evan Engram,JAX,KC,TE,4300,12.1425,5.31,18.635
George Kittle,SF,DAL,TE,5700,11.4275,4.89,20.095
Dalton Schultz,DAL,SF,TE,4200,11.365,5.68,17.705
Dawson Knox,BUF,CIN,TE,3800,9.61,3.08,17.505
Hayden Hurst,CIN,BUF,TE,3200,9.1775,3.99,14.665
Daniel Bellinger,NYG,PHI,TE,3000,6.6225,2.61,11.59
Noah Gray,KC,JAX,TE,2500,4.02,0.83,9.325
Jake Ferguson,DAL,SF,TE,2500,1.69,,4.22
Lawrence Cager,NYG,PHI,TE,2500,1.635,0.02,4.895
Blake Bell,KC,JAX,TE,2500,1.13,0.01,4.135
Quintin Morris,BUF,CIN,TE,2500,1.1,0.01,4.145
Dan Arnold,JAX,KC,TE,2500,1.08,0.02,4.46
Nick Vannett,NYG,PHI,TE,2500,1,0.01,3.83
Mitchell Wilcox,CIN,BUF,TE,2500,0.865,0.01,3.12
Chris Manhertz,JAX,KC,TE,2500,0.545,,1.755
Peyton Hendershot,DAL,SF,TE,2500,0.41,0.01,1.895
Jack Stoll,PHI,NYG,TE,2500,0.33,,1.89
Luke Farrell,JAX,KC,TE,2500,0.245,,1.255
Chris Myarick,NYG,PHI,TE,2500,0.17,,0.65
Grant Calcaterra,PHI,NYG,TE,2500,0.11,,0.42
Tyler Kroft,SF,DAL,TE,2500,0.05,,0.19
Charlie Woerner,SF,DAL,TE,2500,0.05,,0.19
Sean McKeon,DAL,SF,TE,2500,0.04,,0.15
Christian McCaffrey,SF,DAL,RB,8000,21.5,13.3,30.615
Saquon Barkley,NYG,PHI,RB,7900,19.1625,12.95,27.99
Travis Etienne,JAX,KC,RB,6400,15.915,8.43,23.76
Joe Mixon,CIN,BUF,RB,6500,15.135,8.66,22.86
Jerick McKinnon,KC,JAX,RB,6000,14.475,7.57,22.675
Miles Sanders,PHI,NYG,RB,5700,13.795,7.33,23.59
Tony Pollard,DAL,SF,RB,6100,13.0575,7.76,19.53
Isiah Pacheco,KC,JAX,RB,5500,11.365,5.5,19.655
James Cook,BUF,CIN,RB,4800,9.5725,5.3,16.56
Devin Singletary,BUF,CIN,RB,5200,9.395,5,15.22
Ezekiel Elliott,DAL,SF,RB,5400,8.515,3.93,14.14
Samaje Perine,CIN,BUF,RB,4600,6.5675,3.45,12.39
Elijah Mitchell,SF,DAL,RB,4700,6.225,2.85,13.51
Kenneth Gainwell,PHI,NYG,RB,4100,4.5675,1.29,10.515
JaMycal Hasty,JAX,KC,RB,4500,3.245,1.12,8.175
Nyheim Hines,BUF,CIN,RB,4200,2.68,0.04,9.455
Matt Breida,NYG,PHI,RB,4600,2.57,,6.47
Boston Scott,PHI,NYG,RB,4300,2.535,1.04,8.575
Kyle Juszczyk,SF,DAL,RB,4000,2.14,,6.245
Trayveon Williams,CIN,BUF,RB,4000,0.73,0.01,2.79
Jordan Mason,SF,DAL,RB,4000,0.66,0.01,2.53
Reggie Gilliam,BUF,CIN,RB,4000,0.6,,3.1
Ronald Jones,KC,JAX,RB,4200,0.485,,2.8
Michael Burton,KC,JAX,RB,4000,0.4,,3.7
Snoop Conner,JAX,KC,RB,4000,0.25,,0.96
Malik Davis,DAL,SF,RB,4000,0.15,,0.57
Gary Brightwell,NYG,PHI,RB,4000,0.06,,0.23
Josh Allen,BUF,CIN,QB,7800,26.785,16.9,36.015
Patrick Mahomes,KC,JAX,QB,8000,26.3025,17.45,34.895
